=== Training Log ===

Loading dataset...

Evaluating base model before training...
Base model metrics: {'eval_loss': 0.7268927097320557, 'eval_model_preparation_time': 0.0011, 'eval_accuracy': 0.5214659685863874, 'eval_f1': 0.0, 'eval_runtime': 14.2818, 'eval_samples_per_second': 66.869, 'eval_steps_per_second': 4.201}

Starting training...
Step 10: loss = 0.7108
Step 20: loss = 0.6975
Step 30: loss = 0.6866
Step 40: loss = 0.6858
Step 50: loss = 0.6740
Step 60: loss = 0.6799
Step 70: loss = 0.6512
Step 80: loss = 0.6342
Step 90: loss = 0.6791
Step 100: loss = 0.6923
Step 110: loss = 0.6485
Step 120: loss = 0.6421
Step 130: loss = 0.6435
Step 140: loss = 0.6414
Step 150: loss = 0.6360
Step 160: loss = 0.6504
Step 170: loss = 0.6184
Step 180: loss = 0.6151
Step 190: loss = 0.5240
Step 200: loss = 0.5487
Step 210: loss = 0.5594
Step 220: loss = 0.5217
Step 230: loss = 0.5681
Step 240: loss = 0.5085
Step 250: loss = 0.5328
Step 260: loss = 0.5075
Step 270: loss = 0.5572
Step 280: loss = 0.5924
Step 290: loss = 0.4920
Step 300: loss = 0.5679
Step 310: loss = 0.4946
Step 320: loss = 0.5586
Step 330: loss = 0.5211
Step 340: loss = 0.4844
Step 350: loss = 0.4804
Step 360: loss = 0.5345
Step 370: loss = 0.3666
Step 380: loss = 0.3741
Step 390: loss = 0.3890
Step 400: loss = 0.3828
Step 410: loss = 0.4296
Step 420: loss = 0.4611
Step 430: loss = 0.3531
Step 440: loss = 0.4100
Step 450: loss = 0.3953
Step 460: loss = 0.3777
Step 470: loss = 0.4751
Step 480: loss = 0.4162
Step 490: loss = 0.3956
Step 500: loss = 0.3833
Step 510: loss = 0.3220
Step 520: loss = 0.3772
Step 530: loss = 0.4200

Evaluating after training...
Final metrics: {'eval_loss': 0.6482517123222351, 'eval_accuracy': 0.6785340314136126, 'eval_f1': 0.6737513283740701, 'eval_runtime': 24.4088, 'eval_samples_per_second': 39.125, 'eval_steps_per_second': 2.458, 'epoch': 3.0}
