Epoch	Time(s)	mAP	val mAP
1	200.35	0.0017	0.0025
2	274.59	0.0199	0.0196
3	183.59	0.0528	0.0520
4	162.34	0.0657	0.0672
5	197.58	0.0822	0.0866
6	208.16	0.0938	0.0925
7	163.19	0.0980	0.0953
8	171.58	0.1091	0.1044
9	169.35	0.1157	0.1109
10	170.48	0.1234	0.1142
11	201.80	0.1327	0.1213
12	162.10	0.1299	0.1255
13	219.11	0.1389	0.1349
14	290.83	0.1463	0.1362
15	245.88	0.1415	0.1380
16	202.45	0.1494	0.1463
17	211.35	0.1625	0.1525
18	221.52	0.1621	0.1537
19	202.06	0.1690	0.1541
20	253.50	0.1694	0.1588
21	163.54	0.1705	0.1599
22	164.48	0.1795	0.1676
23	178.33	0.1769	0.1598
24	177.58	0.1839	0.1682
25	176.32	0.1894	0.1681
26	211.48	0.1874	0.1687
27	175.15	0.1976	0.1722
28	255.76	0.1972	0.1685
29	283.96	0.1996	0.1780
30	175.40	0.2020	0.1731
31	192.35	0.1992	0.1779
32	233.61	0.2070	0.1846
33	169.38	0.2041	0.1774
34	245.33	0.2084	0.1812
35	212.00	0.2131	0.1830
36	187.51	0.2141	0.1852
37	197.11	0.2201	0.1866
38	170.74	0.2247	0.1860
39	166.79	0.2188	0.1835
40	176.84	0.2280	0.1874
41	163.34	0.2161	0.1836
42	190.36	0.2376	0.1955
43	208.60	0.2308	0.1947
44	166.60	0.2360	0.1903
45	218.96	0.2394	0.1957
46	167.30	0.2362	0.1945
47	168.64	0.2344	0.1929
48	166.13	0.2395	0.1930
49	205.42	0.2440	0.1910
50	179.45	0.2485	0.1998
51	298.25	0.2496	0.1995
52	333.45	0.2462	0.2011
53	269.51	0.2579	0.2036
54	195.25	0.2517	0.2015
55	1221.02	0.2588	0.2018
56	334.01	0.2574	0.2045
57	1179.98	0.2649	0.2062
58	1260.42	0.2662	0.2057
59	830.54	0.2743	0.2074
60	1336.85	0.2725	0.2116
61	1091.55	0.2704	0.2105
62	192.85	0.2695	0.2069
63	178.17	0.2805	0.2144
64	175.79	0.2727	0.2105
65	195.09	0.2778	0.2137
66	163.75	0.2793	0.2155
67	168.36	0.2858	0.2164
68	203.67	0.2909	0.2183
69	230.73	0.2823	0.2125
70	167.01	0.2891	0.2153
71	198.46	0.2964	0.2210
72	181.31	0.2863	0.2168
73	202.03	0.2965	0.2159
74	293.15	0.2937	0.2172
75	189.52	0.2944	0.2155
76	182.80	0.2997	0.2164
72	197.26	0.3039	0.2228
73	179.70	0.3057	0.2217
74	219.59	0.3072	0.2227
75	199.72	0.3114	0.2188
76	189.74	0.3057	0.2227
77	170.39	0.3058	0.2186
78	164.95	0.3108	0.2208
79	171.10	0.3098	0.2239
80	169.04	0.3202	0.2245
81	165.59	0.3187	0.2201
82	172.48	0.3196	0.2244
83	198.01	0.3247	0.2247
84	167.92	0.3147	0.2231
85	167.00	0.3209	0.2275
86	164.12	0.3302	0.2240
87	163.30	0.3169	0.2212
88	165.11	0.3218	0.2208
89	163.11	0.3343	0.2274
90	246.17	0.3401	0.2296
91	167.14	0.3386	0.2252
92	165.94	0.3366	0.2294
93	163.66	0.3379	0.2308
94	167.50	0.3412	0.2328
95	162.20	0.3427	0.2354
96	171.90	0.3447	0.2320
97	177.87	0.3447	0.2297
98	165.51	0.3360	0.2264
99	162.92	0.3441	0.2288
100	164.85	0.3544	0.2334
101	166.37	0.3485	0.2251
102	162.98	0.3558	0.2351
103	160.42	0.3510	0.2327
104	164.89	0.3550	0.2355
105	162.80	0.3504	0.2301
106	174.39	0.3583	0.2321
107	164.52	0.3564	0.2329
108	163.44	0.3646	0.2357
109	165.84	0.3613	0.2345
110	206.16	0.3653	0.2337
111	166.49	0.3635	0.2316
112	172.96	0.3660	0.2307
113	165.08	0.3664	0.2380
114	169.20	0.3643	0.2352
115	163.40	0.3758	0.2346
116	223.27	0.3710	0.2364
117	162.72	0.3741	0.2328
118	163.66	0.3709	0.2286
119	164.58	0.3767	0.2370
120	165.68	0.3771	0.2323
121	161.90	0.3783	0.2302
122	246.79	0.3831	0.2393
123	164.96	0.3773	0.2343
124	165.39	0.3846	0.2356
125	162.45	0.3830	0.2374
126	169.32	0.3845	0.2383
127	164.36	0.3951	0.2406
128	164.91	0.3825	0.2410
129	163.21	0.3863	0.2389
130	163.46	0.3935	0.2345
131	166.16	0.3938	0.2354
132	166.92	0.3932	0.2366
133	162.55	0.3988	0.2392
134	166.72	0.4003	0.2356
135	169.79	0.3988	0.2389
136	163.72	0.3949	0.2405
137	162.60	0.3949	0.2343
138	165.51	0.4075	0.2402
129	190.27	0.4061	0.2410
130	168.29	0.3992	0.2376
131	166.30	0.4126	0.2431
132	162.68	0.4065	0.2405
133	161.22	0.4040	0.2416
134	162.24	0.4079	0.2394
135	162.35	0.4140	0.2453
